Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
19.09,0.4041615334,0.9037326626,1901-10-09,88356.4239759235,69710521.9060139,0.201855,5.986,2461000.5,0.283283969620097,0.9812876896967296,34.83142886206377,23.51060257363743,355.052808919347,0.7033046176201061,205.5303662304824,1.259270761773353,2460990.5887278817,10.04937258050165,1.013933676783773,0
18.85,0.4513931628,1.0093457967,1906-09-05,51216.2998775766,59411724.99924162,0.134134,3.408,2461000.5,0.504722443931849,2.297282074712821,5.184264935478707,170.820552783384,1271.803197937231,1.137792251562938,144.9082971390239,3.456771897862705,2460627.840307805,105.4860448594849,0.2830626629842518,0
18.14,0.6259720997,1.3997161669,1916-04-23,41975.3808890924,4577034.467082246,0.0115977,3.675,2461000.5,0.6260792227562714,1.904547179882801,2.132793507463508,75.47598268751345,960.0327094783742,0.7121497617991284,120.477102955534,3.096944597966474,2461375.7249806887,219.2954263805114,0.3749872232953427,1
17.36,0.8965096664,2.0046565566,1903-11-06,93816.1956233556,10703693.116190964,0.073051,2.746,2461000.5,0.8819492008290946,2.469388719503689,10.52055823942332,48.2295886049848,1417.36797805022,0.2915133118010294,144.1869088551346,4.647264127206348,2461633.271390768,199.2811858287633,0.2539919100579854,0
19.11,0.4004561582,0.8954471917,1902-12-25,71538.0603069492,57016581.95865693,0.23706,5.285,2461000.5,0.3699308521853601,1.162155139091142,23.11966690357546,332.0970163577584,457.6090316775044,0.7322380981155602,198.6526216698918,1.592072180066724,2460985.163042734,12.06554992062902,0.7866977596143832,0
15.73,1.8991312347,4.246586539,1913-08-24,139185.1517849611,9589731.291929502,0.412555,3.126,2461000.5,0.8600849797355267,1.99686278781099,34.581997784438,28.82251002685192,1030.672675858578,0.2793910974219473,10.34007318000256,3.714334478200032,2461279.173589287,262.6630913062016,0.3492864499392208,0
19.5,0.3346223745,0.7482383761,1903-07-07,42737.7301725607,19659150.771976728,0.0325763,4.147,2461000.5,0.4232887727224019,1.666309634298599,2.257922085752667,67.76000741149174,785.6551919869963,0.9609794742208304,270.1979044873828,2.371639794376367,2461104.736689083,312.2370520140125,0.4582162807191866,1
20.01,0.2645787599,0.5916160926,1921-09-07,3510.5496271409,70751439.59325026,0.277074,3.627,2461000.5,0.396423305787031,2.115007244196125,4.879484788957675,235.9773018033677,1123.482250956921,1.276569080688378,76.57013433548434,2.953445407703871,2461080.6536768805,334.316173083836,0.320432298501709,0
20.59,0.2025606009,0.4529392731,1920-04-07,17351.7774821339,58615686.48889376,0.255056,4.252,2461000.5,0.2541264064778416,1.62682269984663,13.01011280852086,140.6280671343339,757.8945121989843,1.213404093158025,42.93613450554609,2.040241306535234,2461041.628603671,340.4639074655427,0.4750001407919978,0
19.35,0.3585543342,0.8017518649,1959-11-04,65753.9747240623,27062582.885766994,0.120769,3.412,2461000.5,0.519663940809451,2.082847277239192,32.28248502671052,32.18422998481089,1097.955066779956,1.000466653044838,48.44230552389898,3.165227901433545,2461041.810185424,346.4551226160381,0.3278822703153011,0
17.77,0.742258153,1.659739687,1903-07-21,30425.1917506206,174391294.30475408,0.30976,2.582,2461000.5,0.7999780928862973,2.946035161920314,25.41818851993012,184.1177048148725,1846.950754124657,0.5892715715113273,330.2028957400751,5.302798752329301,2460138.947609711,167.9302275988905,0.1949158629140701,0
18.67,0.4904050984,1.0965791366,1915-10-29,94757.0073290809,28716069.84705749,0.0024883,5.501,2461000.5,0.5836605437720642,1.085733149690088,17.2762388338976,208.0602469442325,413.221655965664,0.4520335491506152,61.7635884808434,1.719432750229561,2460886.0956741497,99.66940674957851,0.8712031298522109,1
19.23,0.3789264984,0.8473054089,1904-05-01,36564.327993717,8726337.926351568,0.0449211,4.525,2461000.5,0.3106478895670748,1.460576247822134,17.0769828369649,226.6382850195396,644.7402414545138,1.006851318884391,321.9625272727942,1.914301176759877,2461032.3362340084,342.2237802045014,0.5583644029847606,1
19.76,0.2968622513,0.6638041738,1902-08-11,10805.8436502711,18715822.193090003,0.108132,4.467,2461000.5,0.2689150894482897,1.517382000350527,4.015355185346607,100.7373012545409,682.7171599814042,1.10933508399904,227.3141199495543,1.925428916702013,2461044.690302989,336.6982434183955,0.5273047480010692,0
20.44,0.2170475943,0.4853331752,1906-01-11,56208.0574335665,14132259.94815137,0.0236253,4.97,2461000.5,0.4245288160874207,1.271322763198431,11.5365973282999,124.2729112875445,523.5789304471538,0.7316096156728128,259.2459423126488,1.811035910724049,2461239.544733336,195.6387184499993,0.6875754142599819,1
18.32,0.5761757511,1.2883681464,1904-08-08,58071.2272698294,48497334.17388059,0.142525,4.641,2461000.5,0.484018578608811,1.368842269918694,20.70613474116123,342.7313924763018,584.9631906159289,0.7062971800929893,306.7479992478202,2.031387359744398,2461082.2657118626,309.6794725842612,0.6154233390667591,0
19.8,0.2914439045,0.6516883822,1904-11-11,79499.8012697644,11933091.942360695,0.000114089,4.494,2461000.5,0.6142041482986164,1.417769611054114,0.6522736062798827,127.2264353608278,616.6048292883069,0.5469696346129613,259.4942145819841,2.288569587495267,2461208.2789845187,238.6898336280435,0.5838423296416874,1
16.79,1.1656145947,2.6063934693,1982-09-13,25437.8678218602,29341788.669166133,0.174621,3.41,2461000.5,0.4861517882237334,2.293991936589813,10.25435543724232,347.6622355252258,1269.071985914531,1.17876365444585,9.54869190310428,3.409220218733776,2460476.2829384804,148.7056244575927,0.2836718515542468,0
20.46,0.21505769,0.4808836139,1911-11-10,42138.9222194282,12076923.427823463,0.00512337,3.807,2461000.5,0.5348456155026635,1.857682257208892,4.926853253108552,335.5211567292808,924.8165150052464,0.8641090469436249,125.8991033841692,2.851255467474159,2460958.969141305,16.1665680571621,0.3892664049127169,1
