Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
15.26,2.35806068,5.2727839755,1901-08-23,42346.121106514,5071251.136580974,0.029359,5.074,2461000.5,0.3355121972709176,1.245776928212046,13.33579272092072,337.1407922249114,507.8773584501269,0.8278035737182085,277.0183902823983,1.663750282705884,2461207.9954828746,212.9204490178883,0.7088325439405302,True
15.46,2.1505769,4.8088361393,1907-10-11,65086.2500318521,13378701.443445945,0.18731,3.297,2461000.5,0.6062664652723643,2.260115814022302,18.37865115914057,345.551216451355,1241.064828442183,0.8898833883488287,269.0745461743961,3.630348239695775,2461243.3195590815,289.5644842509299,0.2900734850828715,False
18.38,0.5604733623,1.2532565376,1906-03-06,54435.5501077667,3789658.286758657,0.108832,3.122,2461000.5,0.5702246324910014,2.544841207124704,20.39923864931689,162.921648854478,1482.823497768944,1.093710065044063,347.7552548641982,3.995972349205345,2460911.462842118,21.61644786833002,0.2427800749999282,False
14.38,3.536347843,7.907514169,1926-09-28,54844.1633676078,16872242.23565602,0.0717038,3.435,2461000.5,0.505537832953689,2.149051318045439,23.95877926122077,188.2748960513477,1150.717204502686,1.062624571814479,194.5525720858562,3.235478064276399,2460488.7840579427,160.0894975932002,0.3128483684708477,False
17.21,0.9606274149,2.1480282008,1903-03-06,37400.8037755259,9959874.764243582,0.0667442,5.668,2461000.5,0.3494290963109118,1.077998635969807,9.434706674966163,33.03630330495452,408.8139848299297,0.7013145467784817,55.35073175014093,1.454682725161132,2461142.691169153,234.7870112213809,0.8805960983691966,False
16.24,1.5016024791,3.3576852183,1906-12-24,64782.4625646149,12234211.0472155,0.149854,6.946,2461000.5,0.4364952493522143,0.8320181324477783,15.7589177670186,170.7633119209336,277.2028005216411,0.4688461702594217,356.0816162459969,1.195190094636135,2461085.887183921,249.1086736727862,1.298688178194993,False
16.0,1.6770846216,3.750075218,1912-12-23,122044.0246784122,10979849.003996313,0.0425966,4.45,2461000.5,0.2993501728102183,1.290060970321127,64.00515474122066,94.35226407716401,535.1971366000786,0.9038809959197794,61.49851690730085,1.676240944722474,2461019.2977825236,347.3556840169206,0.6726493386847225,True
15.32,2.29379698,5.1290859738,1903-06-18,91244.256649934,25845172.24946737,0.00278383,3.298,2461000.5,0.7107467143415708,2.178656195447747,2.521761458682459,74.86202256895227,1174.576963847604,0.6301834628533539,98.37256255206134,3.727128928042141,2460683.97527428,97.01271586817789,0.3064933257508601,True
20.43,0.2180494405,0.4875733714,1901-07-04,62969.6371285868,11911205.968456928,0.00662601,6.882,2461000.5,0.4499362680235325,0.8438608025847174,5.860590932930383,211.2837101127325,283.1422301110497,0.4641772223384067,40.11847518742348,1.223544382831028,2461124.783926365,201.9797234988166,1.27144580255233,True
15.59,2.0256060086,4.529392731,1909-08-21,12405.7044108262,255628984.35594097,0.201318,3.141,2461000.5,0.5465958092029042,2.636590391941703,11.57311098334763,183.8609719071343,1563.732363502774,1.195441133121725,156.1894042263689,4.07773965076168,2461519.09327538,240.6102735390057,0.2302184238187646,False
13.81,4.5978518828,10.2811093604,1974-01-04,25545.5052207988,20461808.70383613,0.079677,3.22,2461000.5,0.5711699794608194,2.473628777437219,9.400059831078742,110.4058757971745,1421.020077028966,1.060766279434711,350.5345010535981,3.886491275439727,2460678.636610028,81.54059345329729,0.2533391370181617,False
12.79,7.3545308935,16.4452310205,1929-07-19,23579.5332043713,24911350.57033978,0.109225,3.879,2461000.5,0.3973228847587874,1.863058085418779,8.456290877873991,133.0746718836409,928.8338191594787,1.122822472447007,167.8395514974748,2.603293698390551,2461125.7351742852,311.4610021592155,0.3875827866881199,False
